Date, example_number, m,   n,   t,   error, mean_method,  bool_alpha_theta, low_rank_approx_method,    error_min, Sylvester Matrix Type
02-Nov-2016 12:41:49, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 T 
02-Nov-2016 12:41:54, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 DT 
02-Nov-2016 12:41:59, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 DTQ 
02-Nov-2016 12:43:36, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 T 
02-Nov-2016 12:43:41, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 DT 
02-Nov-2016 12:45:48, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 T 
02-Nov-2016 12:45:52, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 DT 
02-Nov-2016 12:45:56, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 DTQ 
02-Nov-2016 12:46:00, 	 1, 	 7, 	 7, 	 4, 	 2.361234e-06, 	 Geometric Mean Matlab Method, 	 y, 	 Standard STLN, 	 1.000000e-10, 	 TQ 
02-Nov-2016 12:46:04, 	 1, 	 7, 	 7, 	 4, 	 3.294836e-10, 	 Geometric Mean Matlab Method, 	 y, 	 None, 	 1.000000e-10, 	 T 
02-Nov-2016 12:46:08, 	 1, 	 7, 	 7, 	 4, 	 3.294836e-10, 	 Geometric Mean Matlab Method, 	 y, 	 None, 	 1.000000e-10, 	 DT 
02-Nov-2016 12:46:12, 	 1, 	 7, 	 7, 	 4, 	 3.294836e-10, 	 Geometric Mean Matlab Method, 	 y, 	 None, 	 1.000000e-10, 	 DTQ 
02-Nov-2016 12:46:16, 	 1, 	 7, 	 7, 	 4, 	 3.294836e-10, 	 Geometric Mean Matlab Method, 	 y, 	 None, 	 1.000000e-10, 	 TQ 
02-Nov-2016 12:46:20, 	 1, 	 7, 	 7, 	 4, 	 3.437549e-06, 	 Geometric Mean Matlab Method, 	 n, 	 Standard STLN, 	 1.000000e-10, 	 T 
02-Nov-2016 12:46:23, 	 1, 	 7, 	 7, 	 4, 	 3.437549e-06, 	 Geometric Mean Matlab Method, 	 n, 	 Standard STLN, 	 1.000000e-10, 	 DT 
