DATE,EX_NUM,m,n,t,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
18-Nov-2016 10:25:41,1,7,7,4,4.738340e-06,Geometric Mean Matlab Method,y,Standard STLN,9,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 10:26:08,1,7,7,4,4.129336e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 10:32:32,1,7,7,4,6.152813e-01,Geometric Mean Matlab Method,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 10:59:05,1,7,7,4,4.738340e-06,Geometric Mean Matlab Method,y,Standard STLN,9,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 10:59:37,1,7,7,4,1.522119e-05,None,n,Standard STLN,9,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:01:10,1,7,7,4,4.543392e-10,None,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:02:13,1,7,7,4,4.543392e-10,None,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:05:12,2,13,11,8,5.048682e+02,Geometric Mean Matlab Method,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:05:36,3,16,17,14,2.895660e+00,Geometric Mean Matlab Method,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:05:39,2,13,11,8,1.484694e-03,Geometric Mean Matlab Method,y,Standard STLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:06:04,2,13,11,8,9.685246e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:06:23,2,13,11,9,,Geometric Mean Matlab Method,n,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:06:24,3,16,17,14,6.291964e-08,Geometric Mean Matlab Method,y,Standard STLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:06:35,2,13,11,9,,Geometric Mean Matlab Method,n,Standard STLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:06:43,2,13,11,9,,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
