DATE,EX_NUM,m,n,o,t,ERROR_UXY,ERROR_VXY,ERROR_WXY,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
15-Aug-2017 23:31:23,7,10, 11,14,8, 9.565324e-07,1.332794e-06,1.001083e+00, 1.448613e-06,None,0, None,0,None, 0,1.000000e-10,1.000000e-08, DTQ 
15-Aug-2017 23:31:29,7,10, 11,14,8, 1.292314e-08,8.224608e-08,2.641395e-07, 1.851309e-08,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-10,1.000000e-08, DTQ 
15-Aug-2017 23:33:33,7,10, 11,14,8, 6.082474e-03,7.722678e-03,1.000000e+00, 9.265682e-03,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
15-Aug-2017 23:33:40,7,10, 11,14,8, 1.292478e-04,8.225519e-04,2.652703e-03, 1.851267e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
15-Aug-2017 23:35:26,7,10, 11,14,8, 5.749306e-03,6.950821e-03,1.000000e+00, 8.796531e-03,None,0, None,0,None, 0,1.000000e-05,1.000000e-04, DTQ 
15-Aug-2017 23:35:32,7,10, 11,14,8, 1.401358e-04,8.849617e-04,2.835234e-03, 1.917042e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-05,1.000000e-04, DTQ 
15-Aug-2017 23:37:02,7,10, 11,14,9, ,,, ,None,0, None,0,None, 0,1.000000e-05,1.000000e-04, T 
15-Aug-2017 23:37:07,7,10, 11,14,8, 7.382988e-01,2.288030e+00,9.420594e-01, 7.040144e-01,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-05,1.000000e-04, T 
15-Aug-2017 23:39:16,7,10, 13,16,8, 4.857825e-02,5.502546e+00,1.000000e+00, 5.126748e-01,None,0, None,0,None, 0,1.000000e-05,1.000000e-04, T 
15-Aug-2017 23:39:21,7,10, 13,16,8, 4.800151e-02,5.502563e+00,9.999997e-01, 4.302160e+01,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-05,1.000000e-04, T 
15-Aug-2017 23:39:41,7,10, 13,16,8, 8.510291e-05,6.405272e-05,9.998455e-01, 2.867451e-05,None,0, None,0,None, 0,1.000000e-05,1.000000e-04, DTQ 
15-Aug-2017 23:39:49,7,10, 13,16,8, 1.181826e-04,1.674492e-03,9.326426e-01, 5.317420e-05,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-05,1.000000e-04, DTQ 
15-Aug-2017 23:40:09,7,10, 13,16,8, 2.491823e-02,1.740022e-02,1.000001e+00, 9.051016e-03,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:40:16,7,10, 13,16,9, ,,, ,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:47:21,7,10, 13,16,8, 2.491823e-02,1.740022e-02,1.000001e+00, 9.051016e-03,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:47:28,7,10, 13,16,9, ,,, ,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:53:12,6,7, 8,8,6, 4.343326e-01,4.499864e-01,4.114759e-01, 1.104499e+00,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:53:15,6,7, 8,8,1, ,,, ,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:57:06,6,7, 8,8,6, 4.343326e-01,4.499864e-01,4.114759e-01, 1.104499e+00,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:57:10,6,7, 8,8,1, ,,, ,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:57:27,7,10, 13,16,8, 2.491823e-02,1.740022e-02,1.000001e+00, 9.051016e-03,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:57:34,7,10, 13,16,9, ,,, ,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:57:49,5,3, 3,4,2, 1.979501e-01,1.820933e-01,1.771044e-01, 2.340210e-01,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:57:51,5,3, 3,4,2, 1.941042e-02,1.884925e-02,1.660251e-02, 1.593686e-02,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:58:08,1,6, 7,7,4, 2.080301e-02,2.641291e-02,3.089578e-02, 2.246104e-02,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:58:11,1,6, 7,7,4, 7.834523e-03,1.163997e-02,5.904378e-03, 1.082535e-02,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:58:28,2,10, 11,13,9, ,,, ,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:58:34,2,10, 11,13,8, 3.243643e-02,8.603225e-02,3.983120e-01, 2.733690e-02,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:58:55,2,10, 11,13,9, ,,, ,None,0, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
15-Aug-2017 23:59:01,2,10, 11,13,8, 2.942388e-02,8.856328e-02,8.040117e-01, 2.160916e-02,None,1, None,0,None, 0,1.000000e-02,1.000000e-02, DTQ 
